timestamp,asset,current_close,predicted_close,actual_close,predicted_direction,actual_direction,probability,tech_signal,correct,running_bankroll
2026-07-08 10:02:00+00:00,BTC,62000.51,61945.7578125,61922.88,DOWN,DOWN,0.5699,DOWN,True,414.1
2026-07-08 10:07:00+00:00,BTC,61922.88,61942.09375,61956.83,UP,UP,0.5248,DOWN,True,424.37
2026-07-08 10:12:00+00:00,BTC,61956.83,61888.49609375,62030.0,DOWN,UP,0.5868,DOWN,False,387.53
2026-07-08 10:17:00+00:00,BTC,62030.0,61957.390625,62057.37,DOWN,UP,0.592,NEUTRAL,False,351.88
2026-07-08 10:22:00+00:00,BTC,62057.37,62002.08203125,62087.47,DOWN,UP,0.5705,UP,False,327.07
2026-07-08 10:27:00+00:00,BTC,62087.47,62092.00390625,62102.01,UP,UP,0.5058,UP,True,328.97
2026-07-08 10:32:00+00:00,BTC,62102.01,62060.1640625,62105.15,DOWN,UP,0.5536,UP,False,311.34
2026-07-08 10:37:00+00:00,BTC,62105.15,62026.15625,62136.0,DOWN,UP,0.5996,NEUTRAL,False,280.33
2026-07-08 10:42:00+00:00,BTC,62136.0,62142.91015625,62132.04,UP,DOWN,0.5089,NEUTRAL,False,277.83
2026-07-08 10:47:00+00:00,BTC,62132.04,62100.12109375,62171.92,DOWN,UP,0.541,NEUTRAL,False,266.44
2026-07-08 10:52:00+00:00,BTC,62171.92,62077.359375,62154.0,DOWN,DOWN,0.6181,NEUTRAL,True,297.91
2026-07-08 10:57:00+00:00,BTC,62154.0,62201.33984375,62148.31,UP,DOWN,0.5605,NEUTRAL,False,279.89
2026-07-08 11:02:00+00:00,BTC,62148.31,62144.5,62159.58,DOWN,UP,0.5049,NEUTRAL,False,278.51
2026-07-08 11:07:00+00:00,BTC,62159.58,62259.02734375,62127.99,UP,DOWN,0.6238,NEUTRAL,False,244.03
2026-07-08 11:12:00+00:00,BTC,62127.99,62054.3203125,62090.01,DOWN,DOWN,0.5931,NEUTRAL,True,266.75
2026-07-08 11:17:00+00:00,BTC,62090.01,62104.01953125,62116.22,UP,UP,0.518,DOWN,True,271.55
2026-07-08 11:22:00+00:00,BTC,62116.22,62078.53515625,62067.99,DOWN,DOWN,0.5483,NEUTRAL,True,284.67
2026-07-08 11:27:00+00:00,BTC,62067.99,61918.48828125,62086.65,DOWN,UP,0.6791,DOWN,False,233.69
2026-07-08 11:32:00+00:00,BTC,62086.65,62033.421875,62153.99,DOWN,UP,0.5679,NEUTRAL,False,217.82
2026-07-08 11:37:00+00:00,BTC,62153.99,62165.16015625,62141.53,UP,DOWN,0.5144,NEUTRAL,False,214.68
2026-07-08 11:42:00+00:00,BTC,62141.53,62153.13671875,62299.13,UP,UP,0.5149,NEUTRAL,True,217.88
2026-07-08 11:47:00+00:00,BTC,62299.13,62296.71484375,62291.57,DOWN,DOWN,0.5031,UP,True,218.56
2026-07-08 11:52:00+00:00,BTC,62291.57,62293.33984375,62282.31,UP,DOWN,0.5023,UP,False,218.05
2026-07-08 11:57:00+00:00,BTC,62282.31,62327.65625,62260.08,UP,DOWN,0.5578,NEUTRAL,False,205.45
2026-07-08 12:02:00+00:00,BTC,62260.08,62361.7109375,62388.85,UP,UP,0.6261,NEUTRAL,True,231.36
2026-07-08 12:07:00+00:00,BTC,62388.85,62364.140625,62382.76,DOWN,DOWN,0.5316,UP,True,238.67
2026-07-08 12:12:00+00:00,BTC,62382.76,62344.7265625,62347.99,DOWN,DOWN,0.5485,UP,True,250.24
2026-07-08 12:17:00+00:00,BTC,62347.99,62333.8203125,62268.06,DOWN,DOWN,0.5182,NEUTRAL,True,254.8
2026-07-08 12:22:00+00:00,BTC,62268.06,62257.30078125,62238.81,DOWN,DOWN,0.5138,DOWN,True,258.31
2026-07-08 12:27:00+00:00,BTC,62238.81,62179.66796875,62200.0,DOWN,DOWN,0.5751,DOWN,True,277.71
2026-07-08 12:32:00+00:00,BTC,62200.0,62139.98828125,62137.17,DOWN,DOWN,0.5762,DOWN,True,298.88
2026-07-08 12:37:00+00:00,BTC,62137.17,62109.89453125,62110.01,DOWN,DOWN,0.535,DOWN,True,309.34
2026-07-08 12:42:00+00:00,BTC,62110.01,62121.66796875,62091.99,UP,DOWN,0.515,DOWN,False,304.7
2026-07-08 12:47:00+00:00,BTC,62091.99,62042.24609375,62085.48,DOWN,DOWN,0.5635,DOWN,True,324.04
2026-07-08 12:52:00+00:00,BTC,62085.48,62155.53125,62017.3,UP,DOWN,0.5888,NEUTRAL,False,295.27
2026-07-08 12:57:00+00:00,BTC,62017.3,62012.7265625,61951.42,DOWN,DOWN,0.5059,NEUTRAL,True,297.01
2026-07-08 13:02:00+00:00,BTC,61951.42,62028.73046875,61855.72,UP,DOWN,0.5978,DOWN,False,267.96
2026-07-08 13:07:00+00:00,BTC,61855.72,61732.55859375,61935.99,DOWN,UP,0.6514,DOWN,False,227.39
2026-07-08 13:12:00+00:00,BTC,61935.99,61931.8125,61912.01,DOWN,DOWN,0.5054,NEUTRAL,True,228.62
2026-07-08 13:17:00+00:00,BTC,61912.01,61940.5234375,61872.58,UP,DOWN,0.5367,NEUTRAL,False,220.23
2026-07-08 13:22:00+00:00,BTC,61872.58,61876.69921875,61838.0,UP,DOWN,0.5053,NEUTRAL,False,219.06
2026-07-08 13:27:00+00:00,BTC,61838.0,61855.296875,62030.0,UP,UP,0.5224,DOWN,True,223.97
2026-07-08 13:32:00+00:00,BTC,62030.0,62102.4296875,62070.15,UP,UP,0.5918,UP,True,244.53
2026-07-08 13:37:00+00:00,BTC,62070.15,62103.12890625,61980.78,UP,DOWN,0.5423,UP,False,234.19
2026-07-08 13:42:00+00:00,BTC,61980.78,61971.76171875,61805.42,DOWN,DOWN,0.5116,NEUTRAL,True,236.91
2026-07-08 13:47:00+00:00,BTC,61805.42,61780.3125,61692.74,DOWN,DOWN,0.5324,DOWN,True,244.58
2026-07-08 13:52:00+00:00,BTC,61692.74,61781.5234375,61807.71,UP,UP,0.6121,DOWN,True,272.0
2026-07-08 13:57:00+00:00,BTC,61807.71,61827.06640625,61941.7,UP,UP,0.525,NEUTRAL,True,278.8
2026-07-08 14:02:00+00:00,BTC,61941.7,61907.671875,61997.7,DOWN,UP,0.5438,UP,False,266.59
2026-07-08 14:07:00+00:00,BTC,61997.7,62030.015625,62059.99,UP,UP,0.5415,UP,True,277.65
2026-07-08 14:12:00+00:00,BTC,62059.99,62075.609375,61904.0,UP,DOWN,0.5201,UP,False,272.07
2026-07-08 14:17:00+00:00,BTC,61904.0,61926.2578125,62120.0,UP,UP,0.5287,NEUTRAL,True,279.88
2026-07-08 14:22:00+00:00,BTC,62120.0,62088.6875,62016.01,DOWN,DOWN,0.5402,UP,True,291.13
2026-07-08 14:27:00+00:00,BTC,62016.01,62080.046875,61926.02,UP,DOWN,0.5815,NEUTRAL,False,267.4
2026-07-08 14:32:00+00:00,BTC,61926.02,61841.86328125,61944.21,DOWN,UP,0.6061,DOWN,False,239.03
2026-07-08 14:37:00+00:00,BTC,61944.21,61879.48828125,61903.98,DOWN,DOWN,0.5824,NEUTRAL,True,258.73
2026-07-08 14:42:00+00:00,BTC,61903.98,61942.94921875,61820.03,UP,DOWN,0.5501,DOWN,False,245.76
2026-07-08 14:47:00+00:00,BTC,61820.03,61554.94921875,61863.41,DOWN,UP,0.778,DOWN,False,177.44
2026-07-08 14:52:00+00:00,BTC,61863.41,61719.79296875,61871.91,DOWN,UP,0.6734,NEUTRAL,False,146.67
